expend,unit,geo\time	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 
INV_REPL,MIO_EUR,PT	13 	0 	10 	3 	0 	8 	65 	17 	6 
INV_REPL,MIO_EUR,RO	0 	0 	5 	0 	19 	12 	22 	5 	15 
INV_REPL,MIO_EUR,SE	37 	7 	1 	22 	23 	70 	127 	94 	166 
INV_REPL,MIO_EUR,UK	67 	162 	423 	579 	1090 	1175 	441 	710 	579 
INV_REPL,NR_COMP,AT	0 	4 	3 	3 	3 	2 	4 	2 	2 
INV_REPL,NR_COMP,BE	4 	4 	7 	2 	3 	6 	7 	4 	10 
INV_REPL,NR_COMP,BG	0 	0 	0 	0 	0 	0 	0 	0 	0 
INV_REPL,NR_COMP,CH	2 	3 	4 	0 	0 	3 	1 	1 	0 
INV_REPL,NR_COMP,CZ	0 	0 	0 	0 	0 	0 	0 	0 	0 
INV_REPL,NR_COMP,DE	12 	6 	12 	14 	12 	14 	17 	22 	18 
INV_REPL,NR_COMP,DK	1 	1 	0 	1 	0 	1 	0 	1 	1 
INV_REPL,NR_COMP,EL	0 	0 	0 	0 	0 	0 	0 	0 	0 
INV_REPL,NR_COMP,ES	6 	3 	2 	7 	7 	6 	3 	5 	6 
INV_REPL,NR_COMP,EU15	78 	85 	96 	109 	77 	127 	174 	170 	141 
INV_REPL,NR_COMP,FI	2 	5 	4 	7 	3 	3 	16 	6 	6 
INV_REPL,NR_COMP,FR	20 	24 	16 	20 	19 	22 	44 	37 	29 
INV_REPL,NR_COMP,HU	0 	0 	0 	0 	0 	0 	0 	0 	0 
INV_REPL,NR_COMP,IE	0 	1 	0 	0 	0 	0 	0 	0 	4 
INV_REPL,NR_COMP,IT	2 	3 	7 	8 	2 	6 	12 	17 	14 
INV_REPL,NR_COMP,LU	1 	1 	3 	1 	1 	0 	2 	2 	1 
INV_REPL,NR_COMP,NL	12 	20 	14 	13 	11 	29 	21 	19 	6 
INV_REPL,NR_COMP,NO	0 	1 	1 	3 	1 	6 	2 	4 	3 
INV_REPL,NR_COMP,PL	1 	1 	3 	6 	0 	3 	2 	0 	2 
INV_REPL,NR_COMP,PT	5 	2 	13 	8 	0 	1 	10 	2 	4 
INV_REPL,NR_COMP,RO	0 	0 	2 	0 	1 	1 	2 	2 	2 
INV_REPL,NR_COMP,SE	4 	2 	1 	1 	4 	5 	9 	11 	12 
INV_REPL,NR_COMP,UK	9 	9 	14 	24 	12 	32 	29 	42 	28 
INV_RESC,MIO_EUR,AT	0 	0 	0 	2 	4 	7 	5 	0 	1 
INV_RESC,MIO_EUR,BE	11 	0 	39 	28 	2 	13 	22 	8 	4 
